Overall rank,Year,Country,Region,Score,GDP_per_capita,Social_Support,Life_expectancy,Freedom_to_choices,Generosity
8,2016,New Zealand,Australia and New Zealand,7.334,1.361,1.173,0.831,0.581,0.494
8,2018,New Zealand,Australia and New Zealand,7.324,1.268,1.601,0.876,0.669,0.365
8,2017,New Zealand,Australia and New Zealand,7.314,1.406,1.548,0.817,0.614,0.5
8,2019,New Zealand,Australia and New Zealand,7.307,1.303,1.557,1.026,0.585,0.33
9,2016,Australia,Australia and New Zealand,7.313,1.444,1.105,0.851,0.568,0.474
9,2015,New Zealand,Australia and New Zealand,7.286,1.25,1.32,0.908,0.639,0.475
10,2015,Australia,Australia and New Zealand,7.284,1.334,1.309,0.932,0.651,0.436
10,2017,Australia,Australia and New Zealand,7.284,1.484,1.51,0.844,0.602,0.478
10,2018,Australia,Australia and New Zealand,7.272,1.34,1.573,0.91,0.647,0.361
11,2019,Australia,Australia and New Zealand,7.228,1.372,1.548,1.036,0.557,0.332
49,2018,Belize,Central America,5.956,0.807,1.101,0.474,0.593,0.183
50,2017,Belize,Central America,5.956,0.908,1.081,0.45,0.548,0.24
52,2016,Belize,Central America,5.956,0.876,0.687,0.456,0.512,0.237
20,2019,Czech Republic,Central and Eastern Europe,6.852,1.269,1.487,0.92,0.457,0.046
21,2018,Czech Republic,Central and Eastern Europe,6.711,1.233,1.489,0.854,0.543,0.064
23,2017,Czech Republic,Central and Eastern Europe,6.609,1.353,1.434,0.754,0.491,0.088
27,2016,Czech Republic,Central and Eastern Europe,6.596,1.309,1.008,0.764,0.414,0.099
31,2015,Czech Republic,Central and Eastern Europe,6.505,1.179,1.206,0.845,0.464,0.107
38,2019,Slovakia,Central and Eastern Europe,6.198,1.246,1.504,0.881,0.334,0.121
39,2018,Slovakia,Central and Eastern Europe,6.173,1.21,1.537,0.776,0.354,0.118
40,2019,Poland,Central and Eastern Europe,6.182,1.206,1.438,0.884,0.483,0.117
40,2017,Slovakia,Central and Eastern Europe,6.098,1.325,1.505,0.713,0.296,0.137
41,2019,Uzbekistan,Central and Eastern Europe,6.174,0.745,1.529,0.756,0.631,0.322
42,2019,Lithuania,Central and Eastern Europe,6.149,1.238,1.515,0.818,0.291,0.043
42,2018,Poland,Central and Eastern Europe,6.123,1.176,1.448,0.781,0.546,0.108
44,2019,Slovenia,Central and Eastern Europe,6.118,1.258,1.523,0.953,0.564,0.144
44,2018,Uzbekistan,Central and Eastern Europe,6.096,0.719,1.584,0.605,0.724,0.328
